'04120';43.85;6.516667
'04320';43.983333;6.766667
'04C06';44.1;6.166667
'04160';44,09;6,01
'04000';44,09;6,24
'04700';43.933333;6.033333
'04C05';44;5.916667
'04800';43.75;5.883333
'06260';0;0
'04190';44.033333;5.983333
'04350';44.05;6.033333
'04500';0;0
'04C05';44.066667;5.966667
'04C03';43.85;6.216667
'04C03';43.866667;6.133333
'04290';44.166667;5.983333
'04C04';43.933333;5.683333
'04140';44.3;6.3
'04150';44.033333;5.633333
'04C07';44.383333;6.65
'04250';44.333333;6.166667
'04C04';43.85;5.583333
'05110';44.366667;5.95
'04220';43.766667;5.75
'04230';44.066667;5.833333
'04300';43.9;5.783333
'04C01';44.416667;6.733333
'04C07';44.45;6.3
'04C01';0;0
'04100';43.833333;5.783333
'05130';44.45;6.116667
'04860';43.816667;5.75
'05160';44.5;6.366667
'04C04';43.883333;5.75
'04180';43.9;5.866667
'04130';43.883333;5.85
'05C06';44.7;5.883333
'05300';44.266667;5.8
'05140';0;0
'05230';44.533333;6.183333
'05190';44.433333;6.2
'05150';44.466667;5.516667
'05400';44.483333;5.783333
'05700';44.35;5.65
'05000';0;0
'26C04';44.2;5.7
'05C03';44.783333;6.933333
'05C03';44.783333;6.866667
'05C07';44.633333;6.2
'05C03';44.766667;6.733333
'05800';44.8;5.983333
'05C02';44.533333;6.5
'05C06';0;0
'05100';44.9;6.65
'05C05';44.666667;6.775
'05310';0;0
'05C02';44.616667;6.516667
'05C01';45,05;6,31
'05120';44.783333;6.55
'05C01';0;0
'05C01';44.983333;6.516667
'05C07';44.683333;6.333333
'05C04';0;0
'05C04';44.833333;6.483333
'05330';44.916667;6.6
'05C05';44.616667;6.683333
'05C01';45.04225;6.33711
'06000';43.7;7.25
'06950';43.75;7.283333
'06340';43.75;7.316667
'06730';43.733333;7.283333
'06310';43.7;7.333333
'06240';43.75;7.433333
'06440';43.8;7.366667
'06540';43.933333;7.5
'06320';43.716667;7.4
'06500';43.8;7.5
'06360';43.716667;7.366667
'06430';44.066667;7.616667
'06380';43.95;7.416667
'06190';43.766667;7.466667
'06230';43.683333;7.333333
'06790';43.783333;7.25
'06420';43.983333;7.133333
'06450';44;7.316667
'06390';43.833333;7.3
'06470';44.1;6.983333
'06830';43.866667;7.2
'06670';43.8;7.233333
'06910';43.883333;7.016667
'06710';43.95;7.183333
'06660';44.283333;6.866667
'06690';43.783333;7.266667
'06510';43.8;7.1
'06800';43.666667;7.15
'06620';43.783333;6.95
'06140';43.8;7.033333
'06480';43.683333;7.1
'06610';43.716667;7.15
'06640';43.75;7.15
'06700';43.666667;7.183333
'06570';43.7;7.116667
'06270';43.65;7.116667
'06600';43.583333;7.116667
'06410';43.633333;7.1
'06460';0;0
'06740';0;0
'06650';43.683333;7.016667
'06330';0;0
'06560';43.633333;7
'06220';43.583333;7.05
'06400';43.55;7.016667
'06210';43.55;6.933333
'06590';43.5;6.933333
'06C01';43.766667;6.783333
'06810';43.6;6.916667
'06C01';43.866667;6.766667
'06530';43.666667;6.866667
'06130';43.666667;6.916667
'06550';43.6;6.95
'06110';43.566667;7.016667
'06370';43.616667;6.966667
'06250';43.6;7
'06580';43.6;6.933333
'07160';44.9;4.383333
'07000';44.766667;4.516667
'07400';0;0
'07190';0;0
'07210';44.716667;4.616667
'07310';44.916667;4.333333
'07800';44.833333;4.8
'07700';44.366667;4.533333
'07440';44.916667;4.7
'07240';44.9;4.6
'07350';44.65;4.766667
'07360';44.816667;4.65
'07220';44.45;4.6
'07250';44.75;4.75
'07340';45.233333;4.783333
'07100';45.233333;4.666667
'07290';45.183333;4.733333
'07410';45.033333;4.65
'07370';45.133333;4.8
'07270';0;0
'07130';45;4.85
'07300';45.116667;4.75
'07430';45.266667;4.75
'07570';45;4.516667
'07C05';45.066667;4.383333
'07500';0;0
'07C05';45.083333;4.35
'07690';45.2;4.533333
'07790';45.183333;4.633333
'07610';45.116667;4.766667
'07200';0;0
'07530';44.716667;4.333333
'07600';44.683333;4.35
'07140';44.416667;4.166667
